Year,Metric,Group,Subgroup,Order,Characteristic,Percent
2004,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",34
2005,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",34.4
2006,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",36.9
2007,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",38.3
2008,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",39.5
2009,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",43.7
2010,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",42.3
2011,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",43.2
2012,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",39.4
2013,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",40.2
2014,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",31.7
2015,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",32.4
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",21.6
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",21.4
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",19.5
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",22.3
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",24
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",25.7
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",27.4
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",26.7
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",29.3
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",30.6
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",33.7
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",31.8
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",31.7
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",31.5
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",30.9
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",30.3
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",27.9
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",23
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",Below 100% by Insurance,59,"Below 100%, Uninsured more than 12 months",20
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.5
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.8
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",7.5
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",7.9
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.1
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.1
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.4
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.9
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.6
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.5
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.3
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.6
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.6
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.9
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.3
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.9
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.4
1997,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11
1998,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.3
1999,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.7
2000,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.7
2001,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.7
2002,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.2
2003,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.7
2004,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",14.7
2005,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.9
2006,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",15.4
2007,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",14.5
2008,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",18.4
2009,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",15.8
2010,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",19.7
2011,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",20.2
2012,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",16.6
2013,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",16.9
2014,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",14.1
2015,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",16
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",6
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",6.1
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",5.8
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",7.8
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.2
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.3
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.6
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.8
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.7
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.3
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.7
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.3
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.6
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",11.9
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",12.3
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",10.7
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",9.4
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.7
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,60,"100%-199%, Insured continuously all 12 months",8.8
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.6
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",29.1
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",30.9
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",29.9
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.2
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",32.3
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.9
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35.9
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35.1
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35.3
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.4
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",39.9
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",38.5
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",38.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",37.9
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",38.7
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",31.3
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",34
1997,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",28.2
1998,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",25.5
1999,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",29.7
2000,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",27.5
2001,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",29.8
2002,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",26.9
2003,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",30.6
2004,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",32.4
2005,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35
2006,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",30.8
2007,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",34.4
2008,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",36.9
2009,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",40
2010,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",38.9
2011,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",35.8
2012,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",37.9
2013,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",30.1
2014,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",32.4
2015,Nonreceipt of Needed Dental Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.6
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",20.5
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",18.9
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",19.2
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",18.4
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",21.8
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",25.4
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",26.3
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",27.6
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",28.4
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",27.4
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",28.9
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",33.6
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",27.4
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",26.5
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",25.5
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",23.7
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",24.3
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",21.4
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,61,"100%-199%, Uninsured for any period up to 12 months",22.3
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Poverty Level & Health Insurance Prior to Interview, 18-64 Years",100%-199% by Insurance,62,"100%-199%, Uninsured more than 12 months",30
